model,split,age_group,rep,sensitivity,specificity,npv
CDR,train,>=2,1,0.9742268041237113,0.4984993178717599,0.9995440868058721
CDR,train,>=2,2,0.9639175257731959,0.5024556616643929,0.9993668596237337
CDR,train,>=2,3,0.9587628865979382,0.5008640291041383,0.9992741789148974
CDR,train,>=2,4,0.9639175257731959,0.5005457025920873,0.9993644452514981
CDR,train,>=2,5,0.9690721649484536,0.4984083674397453,0.9994528542768557
CDR,train,>=2,6,0.9690721649484536,0.49913597089586176,0.9994536514296121
CDR,train,>=2,7,0.9484536082474226,0.49913597089586176,0.9990897505916622
CDR,train,>=2,8,0.9587628865979382,0.49708958617553434,0.9992686717250205
CDR,train,>=2,9,0.9690721649484536,0.4996361982719418,0.9994541981260803
CDR,train,>=2,10,0.9639175257731959,0.49949977262392,0.999363115276135
CDR,train,>=2,11,0.9484536082474226,0.5024556616643929,0.999095759110227
CDR,train,>=2,12,0.979381443298969,0.49763528876762164,0.9996346030876039
CDR,train,>=2,13,0.9587628865979382,0.5020463847203275,0.999275887038378
CDR,train,>=2,14,0.9742268041237113,0.498681218735789,0.9995442530307174
CDR,train,>=2,15,0.9587628865979382,0.4974079126875853,0.9992691394116572
CDR,train,>=2,16,0.9484536082474226,0.5038653933606184,0.9990982867448152
CDR,train,>=2,17,0.9690721649484536,0.5006821282401092,0.9994553376906318
CDR,train,>=2,18,0.9587628865979382,0.49927239654388356,0.9992718667516155
CDR,train,>=2,19,0.9639175257731959,0.5011823556161892,0.9993652520856003
CDR,train,>=2,20,0.9639175257731959,0.49722601182355614,0.999360204734485
CDR,train,>=2,21,0.9587628865979382,0.4982719417917235,0.9992704058367533
CDR,train,>=2,22,0.9432989690721649,0.5007730786721237,0.9990020865463123
CDR,train,>=2,23,0.9587628865979382,0.49931787175989084,0.9992719330178377
CDR,train,>=2,24,0.9536082474226805,0.49986357435197815,0.9991818925552223
CDR,train,>=2,25,0.9639175257731959,0.5012278308321965,0.9993653096382265
CDR,train,>=2,26,0.9639175257731959,0.5003638017280582,0.9993642143505904
CDR,train,>=2,27,0.9690721649484536,0.5011823556161892,0.9994558810193163
CDR,train,>=2,28,0.9536082474226805,0.4989540700318327,0.9991804025134323
CDR,train,>=2,29,0.9639175257731959,0.49758981355161436,0.9993606722075076
CDR,train,>=2,30,0.9587628865979382,0.49863574351978174,0.9992709377563109
CDR,train,>=2,31,0.9484536082474226,0.4974079126875853,0.9990865911582024
CDR,train,>=2,32,0.979381443298969,0.4977262391996362,0.9996346698328614
CDR,train,>=2,33,0.9690721649484536,0.49822646657571623,0.9994526546250684
CDR,train,>=2,34,0.9639175257731959,0.49745338790359256,0.9993604969852
CDR,train,>=2,35,0.9536082474226805,0.5024556616643929,0.9991861096039066
CDR,train,>=2,36,0.9536082474226805,0.4982719417917235,0.9991792814152836
CDR,train,>=2,37,0.9690721649484536,0.4989540700318327,0.999453452359264
CDR,train,>=2,38,0.9639175257731959,0.49949977262392,0.999363115276135
CDR,train,>=2,39,0.9639175257731959,0.50050022737608,0.9993643875419959
CDR,train,>=2,40,0.9690721649484536,0.4979536152796726,0.9994523548740416
CDR,train,>=2,41,0.9690721649484536,0.4979536152796726,0.9994523548740416
CDR,train,>=2,42,0.9587628865979382,0.4975443383356071,0.9992693396657228
CDR,train,>=2,43,0.9639175257731959,0.49495225102319235,0.999357267468552
CDR,train,>=2,44,0.9742268041237113,0.4998180991359709,0.9995452891960713
CDR,train,>=2,45,0.9690721649484536,0.500818553888131,0.999455485978764
CDR,train,>=2,46,0.9639175257731959,0.49745338790359256,0.9993604969852
CDR,train,>=2,47,0.9639175257731959,0.49913597089586176,0.9993626513702996
CDR,train,>=2,48,0.9639175257731959,0.5015916325602546,0.9993657696837909
CDR,train,>=2,49,0.9742268041237113,0.5016825829922692,0.9995469783455649
CDR,val,>=2,0,0.9642857142857143,0.50986632718014,0.9993761696818465
CDR,val,>=2,1,0.9642857142857143,0.5101845957988542,0.9993765586034913
CDR,val,>=2,2,0.9642857142857143,0.49267982176957353,0.9993544222078761
CDR,val,>=2,3,0.9642857142857143,0.5124124761298536,0.9993792675356921
CDR,val,>=2,4,0.9642857142857143,0.5009548058561426,0.9993650793650793
CDR,val,>=2,5,0.9642857142857143,0.5047740292807129,0.9993698802772527
CDR,val,>=2,6,0.9642857142857143,0.5095480585614258,0.9993757802746567
CDR,val,>=2,7,0.9642857142857143,0.5022278803309994,0.999366687777074
CDR,val,>=2,8,1.0,0.5095480585614258,1.0
CDR,val,>=2,9,0.9642857142857143,0.5028644175684277,0.9993674889310563
CDR,val,>=2,10,0.9642857142857143,0.5047740292807129,0.9993698802772527
CDR,val,>=2,11,0.9642857142857143,0.5101845957988542,0.9993765586034913
CDR,val,>=2,12,0.9642857142857143,0.5063653723742839,0.9993718592964824
CDR,val,>=2,13,0.9642857142857143,0.5044557606619987,0.9993694829760403
CDR,val,>=2,14,0.9642857142857143,0.5079567154678549,0.9993738259236068
